,Date,Fighter 1,Fighter 2,Result,Split Dec?
0,07/8/2021,Derrick Lewis ,Ciryl Gane ,2,0
1,07/8/2021,Jose Aldo ,Pedro Munhoz ,1,0
2,07/8/2021,Michael Chiesa ,Vicente Luque ,2,0
3,07/8/2021,Tecia Torres ,Angela Hill ,1,0
4,07/8/2021,Song Yadong ,Casey Kenney ,1,1
5,07/8/2021,Bobby Green ,Rafael Fiziev ,2,0
6,07/8/2021,Vince Morales ,Drako Rodriguez ,1,0
7,07/8/2021,Alonzo Menifield ,Ed Herman ,1,0
8,07/8/2021,Karolina Kowalkiewicz ,Jessica Penne ,2,0
9,07/8/2021,Manel Kape ,Ode Osbourne ,1,0
10,07/8/2021,Miles Johns ,Anderson Dos Santos ,1,0
11,07/8/2021,Victoria Leonardo ,Melissa Gatto ,2,0
12,07/8/2021,Johnny Munoz ,Jamey Simmons ,1,0
13,31/7/2021,Uriah Hall ,Sean Strickland ,2,0
14,31/7/2021,Cheyanne Buys ,Gloria de Paula ,1,0
15,31/7/2021,Niklas Stolze ,Jared Gooden ,2,0
16,31/7/2021,Collin Anglin ,Melsik Baghdasaryan ,2,0
17,31/7/2021,Bryan Barberena ,Jason Witt ,2,0
18,31/7/2021,Chris Gruetzemacher ,Rafa Garcia ,1,0
19,31/7/2021,Danny Chavez ,Kai Kamaka ,1,1
20,31/7/2021,Jinh Yu Frey ,Ashley Yoder ,1,0
21,31/7/2021,Ryan Benoit ,Zarrukh Adashev ,2,0
22,31/7/2021,Phil Rowe ,Orion Cosce ,1,0
23,24/7/2021,Cory Sandhagen ,TJ Dillashaw ,2,1
24,24/7/2021,Kyler Phillips ,Raulian Paiva ,2,0
25,24/7/2021,Darren Elkins ,Darrick Minner ,1,0
26,24/7/2021,Miranda Maverick ,Maycee Barber ,2,1
27,24/7/2021,Adrian Yanez ,Randy Costa ,1,0
28,24/7/2021,Punahele Soriano ,Brendan Allen ,2,0
29,24/7/2021,Nassourdine Imavov ,Ian Heinisch ,1,0
30,24/7/2021,Mickey Gall ,Jordan Williams ,1,0
31,24/7/2021,Julio Arce ,Andre Ewell ,1,0
32,24/7/2021,Sijara Eubanks ,Elise Reed ,1,0
33,24/7/2021,Diana Belbita ,Hannah Goldy ,1,0
34,17/7/2021,Islam Makhachev ,Thiago Moises ,1,0
35,17/7/2021,Marion Reneau ,Miesha Tate ,2,0
36,17/7/2021,Jeremy Stephens ,Mateusz Gamrot ,2,0
37,17/7/2021,Rodolfo Vieira ,Dustin Stoltzfus ,1,0
38,17/7/2021,Gabriel Benitez ,Billy Quarantillo ,2,0
39,17/7/2021,Daniel Rodriguez ,Preston Parsons ,1,0
40,17/7/2021,Amanda Lemos ,Montserrat Conejo ,1,0
41,17/7/2021,Khalid Taha ,Sergey Morozov ,2,0
42,17/7/2021,Francisco Figueiredo ,Malcolm Gordon ,2,0
43,17/7/2021,Alan Baudot ,Rodrigo Nascimento ,2,0
44,10/7/2021,Dustin Poirier ,Conor McGregor ,1,0
45,10/7/2021,Gilbert Burns ,Stephen Thompson ,1,0
46,10/7/2021,Tai Tuivasa ,Greg Hardy ,1,0
47,10/7/2021,Irene Aldana ,Yana Kunitskaya ,1,0
48,10/7/2021,Sean O'Malley ,Kris Moutinho ,1,0
49,10/7/2021,Carlos Condit ,Max Griffin ,2,0
50,10/7/2021,Niko Price ,Michel Pereira ,2,0
51,10/7/2021,Ryan Hall ,Ilia Topuria ,2,0
52,10/7/2021,Trevin Giles ,Dricus Du Plessis ,2,0
53,10/7/2021,Jennifer Maia ,Jessica Eye ,1,0
54,10/7/2021,Omari Akhmedov ,Brad Tavares ,2,1
55,10/7/2021,Zhalgas Zhumagulov ,Jerome Rivera ,1,0
56,26/6/2021,Ciryl Gane ,Alexander Volkov ,1,0
57,26/6/2021,Tanner Boser ,Ovince Saint Preux ,1,0
58,26/6/2021,Raoni Barcelos ,Timur Valiev ,2,0
59,26/6/2021,Andre Fili ,Daniel Pineda ,2,1
60,26/6/2021,Tim Means ,Nicolas Dalby ,1,0
61,26/6/2021,Renato Moicano ,Jai Herbert ,1,0
62,26/6/2021,Kennedy Nzechukwu ,Danilo Marques ,1,0
63,26/6/2021,Shavkat Rakhmonov ,Michel Prazeres ,1,0
64,26/6/2021,Warlley Alves ,Jeremiah Wells ,2,0
65,26/6/2021,Marcin Prachnio ,Ike Villanueva ,1,0
66,26/6/2021,Julia Avila ,Julija Stoliarenko ,1,0
67,26/6/2021,Charles Rosa ,Justin Jaynes ,1,1
68,26/6/2021,Yancy Medeiros ,Damir Hadzovic ,2,0
69,19/6/2021,Chan Sung Jung ,Dan Ige ,1,0
70,19/6/2021,Aleksei Oleinik ,Serghei Spivac ,2,0
71,19/6/2021,Marlon Vera ,Davey Grant ,1,0
72,19/6/2021,Julian Erosa ,SeungWoo Choi ,2,0
73,19/6/2021,Wellington Turman ,Bruno Silva ,2,0
74,19/6/2021,Matt Brown ,Dhiego Lima ,1,0
75,19/6/2021,Aleksa Camur ,Nicolae Negumereanu ,2,1
76,19/6/2021,Kanako Murata ,Virna Jandiroba ,2,0
77,19/6/2021,Khaos Williams ,Matthew Semelsberger ,1,0
78,19/6/2021,Josh Parisian ,Roque Martinez ,1,1
79,19/6/2021,Joaquim Silva ,Ricky Glenn ,2,0
80,19/6/2021,Casey O'Neill ,Lara Procopio ,1,0
81,12/6/2021,Israel Adesanya ,Marvin Vettori ,1,0
82,12/6/2021,Deiveson Figueiredo ,Brandon Moreno ,2,0
83,12/6/2021,Leon Edwards ,Nate Diaz ,1,0
84,12/6/2021,Demian Maia ,Belal Muhammad ,2,0
85,12/6/2021,Paul Craig ,Jamahal Hill ,1,0
86,12/6/2021,Drew Dober ,Brad Riddell ,2,0
87,12/6/2021,Eryk Anders ,Darren Stewart ,1,0
88,12/6/2021,Lauren Murphy ,Joanne Calderwood ,1,1
89,12/6/2021,Movsar Evloev ,Hakeem Dawodu ,1,0
90,12/6/2021,Pannie Kianzad ,Alexis Davis ,1,0
91,12/6/2021,Matt Frevola ,Terrance McKinney ,2,0
92,12/6/2021,Chase Hooper ,Steven Peterson ,2,0
93,12/6/2021,Fares Ziam ,Luigi Vendramini ,1,0
94,12/6/2021,Carlos Felipe ,Jake Collier ,1,1
95,05/6/2021,Jairzinho Rozenstruik ,Augusto Sakai ,1,0
96,05/6/2021,Walt Harris ,Marcin Tybura ,2,0
97,05/6/2021,Roman Dolidze ,Laureano Staropoli ,1,0
98,05/6/2021,Santiago Ponzinibbio ,Miguel Baeza ,1,0
99,05/6/2021,Dusko Todorovic ,Gregory Rodrigues ,2,0
100,05/6/2021,Montana De La Rosa ,Ariane Lipski ,1,0
101,05/6/2021,Tanner Boser ,Ilir Latifi ,2,1
102,05/6/2021,Francisco Trinaldo ,Muslim Salikhov ,2,0
103,05/6/2021,Makwan Amirkhani ,Kamuela Kirk ,2,0
104,05/6/2021,Alan Patrick ,Mason Jones ,2,1
105,05/6/2021,Manon Fiorot ,Tabatha Ricci ,1,0
106,05/6/2021,Sean Woodson ,Youssef Zalal ,1,1
107,05/6/2021,Claudio Puelles ,Jordan Leavitt ,1,0
108,22/5/2021,Rob Font ,Cody Garbrandt ,1,0
109,22/5/2021,Yan Xiaonan ,Carla Esparza ,2,0
110,22/5/2021,Justin Tafa ,Jared Vanderaa ,2,0
111,22/5/2021,Felicia Spencer ,Norma Dumont ,2,1
112,22/5/2021,Ricardo Ramos ,Bill Algeo ,1,0
113,22/5/2021,Jack Hermansson ,Edmen Shahbazyan ,1,0
114,22/5/2021,Ben Rothwell ,Chris Barnett ,1,0
115,22/5/2021,Court McGee ,Claudio Silva ,1,0
116,22/5/2021,Bruno Silva ,Victor Rodriguez ,1,0
117,22/5/2021,Josh Culibao ,Shayilan Nuerdanbieke ,1,0
118,22/5/2021,David Dvorak ,Juancamilo Ronderos ,1,0
119,22/5/2021,Rafael Alves ,Damir Ismagulov ,2,0
120,15/5/2021,Charles Oliveira ,Michael Chandler ,1,0
121,15/5/2021,Tony Ferguson ,Beneil Dariush ,2,0
122,15/5/2021,Matt Schnell ,Rogerio Bontorin ,2,0
123,15/5/2021,Katlyn Chookagian ,Viviane Araujo ,1,0
124,15/5/2021,Shane Burgos ,Edson Barboza ,2,0
125,15/5/2021,Jacare Souza ,Andre Muniz ,2,0
126,15/5/2021,Lando Vannata ,Mike Grundy ,1,1
127,15/5/2021,Jordan Wright ,Jamie Pickett ,1,0
128,15/5/2021,Andrea Lee ,Antonina Shevchenko ,1,0
129,15/5/2021,Gina Mazany ,Priscila Cachoeira ,2,0
130,15/5/2021,Kevin Aguilar ,Tucker Lutz ,2,0
131,15/5/2021,Christos Giagos ,Sean Soriano ,1,0
132,08/5/2021,Marina Rodriguez ,Michelle Waterson ,1,0
133,08/5/2021,Donald Cerrone ,Alex Morono ,2,0
134,08/5/2021,Neil Magny ,Geoff Neal ,1,0
135,08/5/2021,Maurice Greene ,Marcos Rogerio de Lima ,2,0
136,08/5/2021,Diego Ferreira ,Gregor Gillespie ,2,0
137,08/5/2021,Phil Hawes ,Kyle Daukaus ,1,0
138,08/5/2021,Ludovit Klein ,Michael Trizano ,2,0
139,08/5/2021,Junyong Park ,Tafon Nchukwi ,1,0
140,08/5/2021,Christian Aguilera ,Carlston Harris ,2,0
141,01/5/2021,Dominick Reyes ,Jiri Prochazka ,2,0
142,01/5/2021,Giga Chikadze ,Cub Swanson ,1,0
143,01/5/2021,Ion Cutelaba ,Dustin Jacoby ,1,1
144,01/5/2021,Sean Strickland ,Krzysztof Jotko ,1,0
145,01/5/2021,Merab Dvalishvili ,Cody Stamann ,1,0
146,01/5/2021,Randa Markos ,Luana Pinheiro ,2,0
147,01/5/2021,Kai Kamaka ,TJ Brown ,2,1
148,01/5/2021,Poliana Botelho ,Luana Carolina ,2,1
149,01/5/2021,Loma Lookboonmee ,Sam Hughes ,1,0
150,01/5/2021,Andreas Michailidis ,KB Bhullar ,1,0
151,01/5/2021,Luke Sanders ,Felipe Colares ,2,0
152,24/4/2021,Kamaru Usman ,Jorge Masvidal ,1,0
153,24/4/2021,Zhang Weili ,Rose Namajunas ,2,0
154,24/4/2021,Valentina Shevchenko ,Jessica Andrade ,1,0
155,24/4/2021,Uriah Hall ,Chris Weidman ,1,0
156,24/4/2021,Anthony Smith ,Jimmy Crute ,1,0
157,24/4/2021,Alex Oliveira ,Randy Brown ,2,0
158,24/4/2021,Dwight Grant ,Stefan Sekulic ,1,1
159,24/4/2021,Karl Roberson ,Brendan Allen ,2,0
160,24/4/2021,Pat Sabatini ,Tristan Connelly ,1,0
161,24/4/2021,Danaa Batgerel ,Kevin Natividad ,1,0
162,24/4/2021,Kazula Vargas ,Rong Zhu ,1,0
163,24/4/2021,Aori Qileng ,Jeff Molina ,2,0
164,24/4/2021,Na Liang ,Ariane Carnelossi ,2,0
165,17/4/2021,Robert Whittaker ,Kelvin Gastelum ,1,0
166,17/4/2021,Andrei Arlovski ,Chase Sherman ,1,0
167,17/4/2021,Abdul Razak Alhassan ,Jacob Malkoun ,2,0
168,17/4/2021,Tracy Cortez ,Justine Kish ,1,1
169,17/4/2021,Luis Pena ,Alexander Munoz ,1,1
170,17/4/2021,Alexandr Romanov ,Juan Espino ,1,1
171,17/4/2021,Jessica Penne ,Loopy Godinez ,1,1
172,17/4/2021,Bartosz Fabinski ,Gerald Meerschaert ,2,0
173,17/4/2021,Austin Hubbard ,Dakota Bush ,1,0
174,17/4/2021,Tony Gravely ,Anthony Birchak ,1,0
175,10/4/2021,Marvin Vettori ,Kevin Holland ,1,0
176,10/4/2021,Arnold Allen ,Sodiq Yusuff ,1,0
177,10/4/2021,Sam Alvey ,Julian Marquez ,2,0
178,10/4/2021,Nina Nunes ,Mackenzie Dern ,2,0
179,10/4/2021,Mike Perry ,Daniel Rodriguez ,2,0
180,10/4/2021,Jim Miller ,Joe Solecki ,2,0
181,10/4/2021,Scott Holtzman ,Mateusz Gamrot ,2,0
182,10/4/2021,John Makdessi ,Ignacio Bahamondes ,1,1
183,10/4/2021,Yorgan De Castro ,Jarjis Danho ,2,0
184,10/4/2021,Hunter Azure ,Jack Shore ,2,1
185,10/4/2021,Luis Saldana ,Jordan Griffin ,1,0
186,10/4/2021,Da-Un Jung ,William Knight ,1,0
187,10/4/2021,Impa Kasanganay ,Sasha Palatnikov ,1,0
188,27/3/2021,Stipe Miocic ,Francis Ngannou ,2,0
189,27/3/2021,Tyron Woodley ,Vicente Luque ,2,0
190,27/3/2021,Sean O'Malley ,Thomas Almeida ,1,0
191,27/3/2021,Gillian Robertson ,Miranda Maverick ,2,0
192,27/3/2021,Jamie Mullarkey ,Khama Worthy ,1,0
193,27/3/2021,Alonzo Menifield ,Fabio Cherant ,1,0
194,27/3/2021,Jared Gooden ,Abubakar Nurmagomedov ,2,0
195,27/3/2021,Modestas Bukauskas ,Michal Oleksiejczuk ,2,1
196,27/3/2021,Shane Young ,Omar Morales ,2,0
197,27/3/2021,Marc-Andre Barriault ,Abu Azaitar ,1,0
198,20/3/2021,Derek Brunson ,Kevin Holland ,1,0
199,20/3/2021,Song Kenan ,Max Griffin ,2,0
200,20/3/2021,Cheyanne Buys ,Montserrat Conejo ,2,0
201,20/3/2021,Adrian Yanez ,Gustavo Lopez ,1,0
202,20/3/2021,Tai Tuivasa ,Harry Hunsucker ,1,0
203,20/3/2021,Marion Reneau ,Macy Chiasson ,2,0
204,20/3/2021,Leonardo Santos ,Grant Dawson ,2,0
205,20/3/2021,Trevin Giles ,Roman Dolidze ,1,0
206,20/3/2021,Montel Jackson ,Jesse Strader ,1,0
207,20/3/2021,Bruno Silva ,JP Buys ,1,0
208,13/3/2021,Leon Edwards ,Belal Muhammad ,1,1
209,13/3/2021,Misha Cirkunov ,Ryan Spann ,2,0
210,13/3/2021,Dan Ige ,Gavin Tucker ,1,0
211,13/3/2021,Jonathan Martinez ,Davey Grant ,2,0
212,13/3/2021,Manel Kape ,Matheus Nicolau ,2,1
213,13/3/2021,Eryk Anders ,Darren Stewart ,2,1
214,13/3/2021,Angela Hill ,Ashley Yoder ,1,0
215,13/3/2021,Charles Jourdain ,Marcelo Rojo ,1,0
216,13/3/2021,Rani Yahya ,Ray Rodriguez ,1,0
217,13/3/2021,Nasrat Haqparast ,Rafa Garcia ,1,0
218,13/3/2021,Cortney Casey ,JJ Aldrich ,2,1
219,13/3/2021,Gloria de Paula ,Jinh Yu Frey ,2,0
220,13/3/2021,Matthew Semelsberger ,Jason Witt ,1,0
221,06/3/2021,Jan Blachowicz ,Israel Adesanya ,1,0
222,06/3/2021,Amanda Nunes ,Megan Anderson ,1,0
223,06/3/2021,Petr Yan ,Aljamain Sterling ,2,0
