,Name,Date,Time,Knockdowns,Knockdowns Against,Sig Strikes Landed,Sig Strikes Attempted,Sig Strikes Absorbed,Strikes Landed,Strikes Attempted,Strikes Absorbed,Takedowns,Takedown Attempts,Got Taken Down,Submission Attempts,Clinch Strikes,Clinch Strikes Taken,Ground Strikes,Ground Strikes Taken
0,Derrick Lewis ,07/8/2021,851,0,0,16,37,98,16,37,112,0,1,0,0,1,16,0,15
1,Ciryl Gane ,07/8/2021,851,0,0,98,122,16,112,136,16,0,1,0,0,16,1,15,0
2,Jose Aldo ,07/8/2021,900,0,0,114,223,75,114,223,75,0,0,0,0,0,4,0,0
3,Pedro Munhoz ,07/8/2021,900,0,0,75,179,114,75,179,114,0,0,0,0,4,0,0,0
4,Michael Chiesa ,07/8/2021,205,0,0,4,12,7,6,16,8,1,1,0,2,0,0,0,0
5,Vicente Luque ,07/8/2021,205,0,0,7,12,4,8,13,6,0,0,1,1,0,0,0,0
6,Tecia Torres ,07/8/2021,900,0,0,144,298,96,166,322,99,1,6,2,0,16,22,1,1
7,Angela Hill ,07/8/2021,900,0,0,96,188,144,99,191,166,2,7,1,0,22,16,1,1
8,Song Yadong ,07/8/2021,900,0,0,116,257,78,121,263,85,0,3,1,0,6,1,0,0
9,Casey Kenney ,07/8/2021,900,0,0,78,190,116,85,199,121,1,5,0,0,1,6,0,0
10,Bobby Green ,07/8/2021,900,0,0,143,263,104,143,263,104,0,2,0,0,5,8,0,0
11,Rafael Fiziev ,07/8/2021,900,0,0,104,223,143,104,223,143,0,0,0,0,8,5,0,0
12,Vince Morales ,07/8/2021,900,0,0,76,196,55,84,204,60,1,4,3,0,7,5,0,1
13,Drako Rodriguez ,07/8/2021,900,0,0,55,151,76,60,156,84,3,5,1,0,5,7,1,0
14,Alonzo Menifield ,07/8/2021,900,0,0,93,140,41,94,141,42,1,1,0,0,13,3,10,0
15,Ed Herman ,07/8/2021,900,0,0,41,126,93,42,127,94,0,0,1,0,3,13,0,10
16,Karolina Kowalkiewicz ,07/8/2021,272,0,0,8,12,12,28,36,21,1,1,1,0,0,0,4,8
17,Jessica Penne ,07/8/2021,272,0,0,12,19,8,21,30,28,1,1,1,1,0,0,8,4
18,Manel Kape ,07/8/2021,284,1,0,19,29,18,19,29,18,0,0,0,0,0,0,3,0
19,Ode Osbourne ,07/8/2021,284,0,1,18,38,19,18,38,19,0,0,0,0,0,0,0,3
20,Miles Johns ,07/8/2021,676,1,0,80,118,32,80,118,33,0,0,0,0,2,1,0,0
21,Anderson Dos Santos ,07/8/2021,676,0,1,32,164,80,33,165,80,0,5,0,0,1,2,0,0
22,Victoria Leonardo ,07/8/2021,600,0,0,43,91,70,59,110,96,0,3,1,0,3,6,2,1
23,Melissa Gatto ,07/8/2021,600,0,0,70,121,43,96,148,59,1,5,0,0,6,3,1,2
24,Johnny Munoz ,07/8/2021,455,0,0,14,71,7,24,85,10,2,3,0,3,0,0,1,0
25,Jamey Simmons ,07/8/2021,455,0,0,7,37,14,10,40,24,0,0,2,0,0,0,0,1
26,Uriah Hall ,31/7/2021,1500,0,0,107,258,186,122,273,221,0,0,4,0,1,9,0,8
27,Sean Strickland ,31/7/2021,1500,0,0,186,428,107,221,472,122,4,6,0,0,9,1,8,0
28,Cheyanne Buys ,31/7/2021,60,1,0,11,16,5,11,16,8,1,1,0,0,0,0,7,0
29,Gloria de Paula ,31/7/2021,60,0,1,5,8,11,8,11,11,0,0,1,0,0,0,0,7
30,Niklas Stolze ,31/7/2021,68,0,1,7,13,14,7,13,14,0,0,1,0,0,0,0,1
31,Jared Gooden ,31/7/2021,68,1,0,14,23,7,14,23,7,1,1,0,0,0,0,1,0
32,Collin Anglin ,31/7/2021,410,0,1,25,51,44,28,57,51,1,1,0,0,6,10,0,2
33,Melsik Baghdasaryan ,31/7/2021,410,1,0,44,75,25,51,82,28,0,0,1,0,10,6,2,0
34,Bryan Barberena ,31/7/2021,900,0,1,50,113,35,114,178,56,0,1,8,0,4,6,6,4
35,Jason Witt ,31/7/2021,900,1,0,35,83,50,56,105,114,8,18,0,1,6,4,4,6
36,Chris Gruetzemacher ,31/7/2021,900,0,0,100,190,72,176,268,90,0,1,5,0,24,11,0,3
37,Rafa Garcia ,31/7/2021,900,0,0,72,146,100,90,166,176,5,12,0,1,11,24,3,0
38,Danny Chavez ,31/7/2021,900,0,0,41,110,48,53,122,80,1,5,0,0,10,6,3,0
39,Kai Kamaka ,31/7/2021,900,0,0,48,77,41,80,114,53,0,3,1,0,6,10,0,3
40,Jinh Yu Frey ,31/7/2021,900,0,0,88,185,91,89,186,96,0,1,0,0,10,1,1,0
41,Ashley Yoder ,31/7/2021,900,0,0,91,236,88,96,241,89,0,8,0,0,1,10,0,1
42,Ryan Benoit ,31/7/2021,900,1,0,37,129,78,55,151,81,0,1,0,0,0,2,4,2
43,Zarrukh Adashev ,31/7/2021,900,0,1,78,143,37,81,146,55,0,4,0,1,2,0,2,4
44,Phil Rowe ,31/7/2021,561,1,0,46,93,22,53,101,51,0,0,2,0,13,3,0,3
45,Orion Cosce ,31/7/2021,561,0,1,22,52,46,51,82,53,2,6,0,0,3,13,3,0
