,Height1,Reach1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss
0,190.5,79.0,36.0,0.041,0.0205,2.0513,4.2667,1.7231,2.2154,4.4513,3.7538,0.4977,0.041,0.1026,0.1436,0.0,0.6359,0.3897,0.6564,0.0821,193.0,81.0,31.0,0.0229,0.0,5.2099,9.6069,2.645,5.6336,10.0305,2.8282,0.5616,0.0573,0.2519,0.0,0.0115,0.4351,0.0687,0.0802,0.0,0.0,1.0
1,193.0,81.0,31.0,0.0229,0.0,5.2099,9.6069,2.645,5.6336,10.0305,2.8282,0.5616,0.0573,0.2519,0.0,0.0115,0.4351,0.0687,0.0802,0.0,190.5,79.0,36.0,0.041,0.0205,2.0513,4.2667,1.7231,2.2154,4.4513,3.7538,0.4977,0.041,0.1026,0.1436,0.0,0.6359,0.3897,0.6564,0.0821,1.0,0.0
2,170.2,70.0,34.0,0.0,0.0135,3.2374,6.7851,5.6385,3.6556,7.2167,7.5809,0.5065,0.0,0.054,0.027,0.0,0.2833,0.6745,0.0,1.1601,167.6,65.0,34.0,0.032,0.0,6.7982,14.6201,6.6382,6.9421,14.8121,6.6702,0.4687,0.0,0.016,0.048,0.0,0.144,0.048,0.16,0.016,1.0,0.0
3,167.6,65.0,34.0,0.032,0.0,6.7982,14.6201,6.6382,6.9421,14.8121,6.6702,0.4687,0.0,0.016,0.048,0.0,0.144,0.048,0.16,0.016,170.2,70.0,34.0,0.0,0.0135,3.2374,6.7851,5.6385,3.6556,7.2167,7.5809,0.5065,0.0,0.054,0.027,0.0,0.2833,0.6745,0.0,1.1601,0.0,1.0
4,185.4,75.0,33.0,0.0,0.0,1.5269,3.2635,0.7036,4.1916,6.4671,1.9611,0.6481,0.3144,0.4641,0.0299,0.015,0.1647,0.1347,0.8683,0.0898,180.3,75.0,29.0,0.0522,0.0174,6.6106,12.9777,7.5326,7.1151,13.4822,8.4372,0.5277,0.0,0.0,0.0348,0.0348,0.2609,0.7306,0.1392,0.2262,0.0,1.0
5,180.3,75.0,29.0,0.0522,0.0174,6.6106,12.9777,7.5326,7.1151,13.4822,8.4372,0.5277,0.0,0.0,0.0348,0.0348,0.2609,0.7306,0.1392,0.2262,185.4,75.0,33.0,0.0,0.0,1.5269,3.2635,0.7036,4.1916,6.4671,1.9611,0.6481,0.3144,0.4641,0.0299,0.015,0.1647,0.1347,0.8683,0.0898,1.0,0.0
6,154.9,60.0,31.0,0.0,0.0,3.5385,7.8615,4.0462,4.7385,9.1231,5.5385,0.5194,0.0154,0.3385,0.0769,0.0,0.5692,1.2923,0.0769,0.2308,160.0,64.0,36.0,0.0126,0.0,5.2371,10.7386,4.3433,6.1183,12.0227,5.3504,0.5089,0.0378,0.1007,0.0629,0.0126,0.9442,0.3525,0.428,0.1133,1.0,0.0
7,160.0,64.0,36.0,0.0126,0.0,5.2371,10.7386,4.3433,6.1183,12.0227,5.3504,0.5089,0.0378,0.1007,0.0629,0.0126,0.9442,0.3525,0.428,0.1133,154.9,60.0,31.0,0.0,0.0,3.5385,7.8615,4.0462,4.7385,9.1231,5.5385,0.5194,0.0154,0.3385,0.0769,0.0,0.5692,1.2923,0.0769,0.2308,0.0,1.0
8,172.7,67.0,23.0,0.0161,0.0,4.5918,10.6176,4.3018,5.6552,11.8904,6.203,0.4756,0.0322,0.0483,0.1611,0.0,0.3867,0.4511,0.1128,0.4189,170.2,68.0,30.0,0.0,0.0,6.0745,13.8462,5.5829,6.138,13.9096,6.8358,0.4413,0.0317,0.1427,0.222,0.0159,0.1586,0.2379,0.0159,0.2062,1.0,0.0
9,170.2,68.0,30.0,0.0,0.0,6.0745,13.8462,5.5829,6.138,13.9096,6.8358,0.4413,0.0317,0.1427,0.222,0.0159,0.1586,0.2379,0.0159,0.2062,172.7,67.0,23.0,0.0161,0.0,4.5918,10.6176,4.3018,5.6552,11.8904,6.203,0.4756,0.0322,0.0483,0.1611,0.0,0.3867,0.4511,0.1128,0.4189,0.0,1.0
