Height 1,Reach 1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss,Draw
182.9,71.0,33.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,185.4,72.0,33.0,0.0,0.0143,1.6,3.6714,1.6143,3.6143,6.1714,2.3714,0.5856,0.2,0.5714,0.0,0.0286,0.2,0.1,0.7429,0.1714,1.0,0.0,0.0
185.4,72.0,33.0,0.0,0.0143,1.6,3.6714,1.6143,3.6143,6.1714,2.3714,0.5856,0.2,0.5714,0.0,0.0286,0.2,0.1,0.7429,0.1714,182.9,71.0,33.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,0.0,1.0,0.0
175.3,71.0,29.0,0.0823,0.0274,3.7877,8.3166,1.9488,4.3916,8.9204,2.9918,0.4923,0.0,0.0274,0.1921,0.0,0.3843,0.0549,0.4392,0.0,177.8,71.0,28.0,0.0375,0.0,2.7341,8.2772,4.4569,3.2959,8.9888,5.2434,0.3667,0.2247,0.7116,0.1124,0.1498,0.412,0.412,1.161,0.1498,0.0,1.0,0.0
177.8,71.0,28.0,0.0375,0.0,2.7341,8.2772,4.4569,3.2959,8.9888,5.2434,0.3667,0.2247,0.7116,0.1124,0.1498,0.412,0.412,1.161,0.1498,175.3,71.0,29.0,0.0823,0.0274,3.7877,8.3166,1.9488,4.3916,8.9204,2.9918,0.4923,0.0,0.0274,0.1921,0.0,0.3843,0.0549,0.4392,0.0,1.0,0.0,0.0
180.3,73.0,31.0,0.0,0.0705,3.6413,7.5411,2.7016,9.9843,14.6359,4.6515,0.6822,0.047,0.1175,0.1644,0.141,0.7518,0.8692,1.2451,0.3994,182.9,71.0,34.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,0.0,1.0,0.0
182.9,71.0,34.0,0.0248,0.0496,3.2975,7.1405,2.0579,4.2397,8.3306,5.3802,0.5089,0.0992,0.6942,0.1488,0.0,1.1653,0.4959,1.0165,0.1983,180.3,73.0,31.0,0.0,0.0705,3.6413,7.5411,2.7016,9.9843,14.6359,4.6515,0.6822,0.047,0.1175,0.1644,0.141,0.7518,0.8692,1.2451,0.3994,1.0,0.0,0.0
175.3,71.0,27.0,0.0195,0.0,4.0585,9.3463,1.5805,7.4146,12.8976,2.439,0.5749,0.1951,0.4098,0.1756,0.0585,1.1707,0.5659,1.1122,0.0,182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,0.0,1.0,0.0
182.9,72.0,30.0,0.0408,0.0,3.0581,7.0744,2.0795,4.2202,8.2773,2.7523,0.5099,0.0204,0.0612,0.1223,0.1427,0.8767,0.5301,0.3874,0.0815,175.3,71.0,27.0,0.0195,0.0,4.0585,9.3463,1.5805,7.4146,12.8976,2.439,0.5749,0.1951,0.4098,0.1756,0.0585,1.1707,0.5659,1.1122,0.0,1.0,0.0,0.0
177.8,71.0,28.0,0.0469,0.0,2.5303,7.4502,2.2023,4.2405,9.4885,3.8891,0.4469,0.2343,0.3749,0.0234,0.0469,0.2577,0.2577,0.6091,0.2343,172.7,70.0,27.0,0.0268,0.0,2.3036,6.1875,1.3125,4.6875,9.0536,2.4375,0.5178,0.2143,0.4018,0.0536,0.0804,0.2679,0.1875,1.1786,0.1071,1.0,0.0,0.0
172.7,70.0,27.0,0.0268,0.0,2.3036,6.1875,1.3125,4.6875,9.0536,2.4375,0.5178,0.2143,0.4018,0.0536,0.0804,0.2679,0.1875,1.1786,0.1071,177.8,71.0,28.0,0.0469,0.0,2.5303,7.4502,2.2023,4.2405,9.4885,3.8891,0.4469,0.2343,0.3749,0.0234,0.0469,0.2577,0.2577,0.6091,0.2343,0.0,1.0,0.0
